Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,14 Jan 2025,5,Shikhashukla,It's really good
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,23 Oct 2024,5,Somya Singh,Pretty kurta 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,4 Feb 2025,4,Harshavrdhini,Good
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,4 Dec 2024,5,Madhu,Very good 😊
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,10 Dec 2024,5,Prashansha,Just wow kurta
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,7 Nov 2024,5,Myntra Customer,V good product 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,13 Mar 2025,4,Archana Kumari,Nice 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,12 Jan 2025,5,Mithu,Beautiful kurti
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,8 Mar 2025,4,Anshu,Nice
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,28 Feb 2025,4,Kiran Manaktala,Good
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,5 Mar 2025,5,Rashmi,Nice kurta
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,23 Jan 2025,5,Sandhya Rani,It is nice
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,2 Oct 2024,5,Niharika Saharia,Beautiful 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,1 Mar 2025,5,Shanu 1 Sharma,Great fit
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,6 Oct 2024,5,Balraj,"Nice
"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,14 Mar 2025,5,Daksh,Good product 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,27 Dec 2024,5,Rinku,Good looking 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,7 Mar 2025,5,Jyothi Balla,Nice kurtha
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,9 Mar 2025,5,Uma,Very good 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,2 Oct 2024,5,7915,Excellent 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,10 Mar 2025,5,Shivangi,Nice 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,17 Mar 2025,5,Sasmita Satpathy,Good 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,5 Oct 2024,5,Nidhi Maurya,Nice
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,15 Dec 2024,5,Myntra Customer,Nice
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,23 Jan 2025,5,Mittal,Nice
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,12 Feb 2025,5,Myntra Customer,Nice
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,8 Sept 2024,3,Manshi,Little much good
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,12 Mar 2025,5,Kajal Jha,Super quality 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,10 Mar 2025,5,Lipilatadas,Nice
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,28 Jan 2025,5,Chetan Jonwal,Good
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,2 Dec 2024,1,Sonia Arora,V bad product. Too over priced. Cheap quality 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,18 Oct 2024,3,Akanksha,Ok 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,16 Mar 2025,2,Myntra Customer,"Quality is average 
Colour is not same 
Not satisfied "
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,10 Mar 2025,5,Savita Singh,
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,18 Nov 2024,1,Debasmita Sahoo,Product quality too poor as m expected 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,5 Mar 2025,1,Shruti,Quality issue
